Imobilizado;Subnº;Incorporação em;Denominação do imobilizado;Nº inventário;Nº de série;Centro custo;Link;QRCODE
20000145;3;24/01/2017;CONJUNTO COMPLETO TRIANGULOS SANFONADORES;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000145&nome=CONJUNTO%20COMPLETO%20TRIANGULOS%20SANFONADORES;#BLOQUEADO!
20000154;0;26/08/2000;LINHA COMPLETA POLIT BAIXA DENSIDADE LINEAR Nº 002;10000354;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000154&nome=LINHA%20COMPLETA%20POLIT%20BAIXA%20DENSIDADE%20LINEAR%20Nº%20002;#BLOQUEADO!
20000154;1;28/02/2011;VENTILAÇÃO FORÇADA DZ90-100 VS 230V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000154&nome=VENTILAÇÃO%20FORÇADA%20DZ90-100%20VS%20230V;#BLOQUEADO!
20000154;2;27/05/2024;CONJUNTO CILINDRO E ROSCA COM BUCHA RANHURADA;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000154&nome=CONJUNTO%20CILINDRO%20E%20ROSCA%20COM%20BUCHA%20RANHURADA;#BLOQUEADO!
20000256;0;21/10/2009;EXTRUSORA BALAO COMPLETA MOD GD/HL-50EZ Nº 012;10000003;908282;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=EXTRUSORA%20BALAO%20COMPLETA%20MOD%20GD/HL-50EZ%20Nº%20012;#BLOQUEADO!
20000256;1;23/10/2009;FRETE EXTRUSORAS;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=FRETE%20EXTRUSORAS;#BLOQUEADO!
20000256;2;21/10/2009;GASTOS COM IMPORTACAO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=GASTOS%20COM%20IMPORTACAO;#BLOQUEADO!
20000256;3;29/12/2009;INVERSOR CFW-08;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=INVERSOR%20CFW-08;#BLOQUEADO!
20000256;4;01/12/2009;ALINHADOR DF 2/165/2000/1700;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=ALINHADOR%20DF%202/165/2000/1700;#BLOQUEADO!
20000256;5;01/02/2010;TUBO MECANICO EXT 140;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=TUBO%20MECANICO%20EXT%20140;#BLOQUEADO!
20000256;6;30/09/2010;CONTROLADOR DIGITAL MICROPROCESSADO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=CONTROLADOR%20DIGITAL%20MICROPROCESSADO;#BLOQUEADO!
20000256;7;31/05/2012;TUBO DE ACO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=TUBO%20DE%20ACO;#BLOQUEADO!
20000256;8;26/07/2016;TROCADOR DE CALOR REFRISAT TC-30-W/AR;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000256&nome=TROCADOR%20DE%20CALOR%20REFRISAT%20TC-30-W/AR;#BLOQUEADO!
20000582;0;17/12/2020;MAQUINA EXTRUSORA HOSOKAWA ALPINE 3 CAM Nº 015;10000864;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000582&nome=MAQUINA%20EXTRUSORA%20HOSOKAWA%20ALPINE%203%20CAM%20Nº%20015;#BLOQUEADO!
20000582;1;17/12/2020;FRETES E SERVIÇOS INSTALAÇAO MAQUINA 20000450;10000864;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000582&nome=FRETES%20E%20SERVIÇOS%20INSTALAÇAO%20MAQUINA%2020000450;#BLOQUEADO!
20000582;2;17/12/2020;SERVIÇOS INSTALAÇAO MAQUINA 20000450;10000864;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000582&nome=SERVIÇOS%20INSTALAÇAO%20MAQUINA%2020000450;#BLOQUEADO!
20000582;3;17/12/2020;FRETES E SERVIÇOS INSTALAÇAO MAQUINA 20000450;10000864;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000582&nome=FRETES%20E%20SERVIÇOS%20INSTALAÇAO%20MAQUINA%2020000450;#BLOQUEADO!
20000582;5;21/11/2024;MOTOR ELETRICO DE PASSO MOVIMENTACAO MEDIDOR DE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000582&nome=MOTOR%20ELETRICO%20DE%20PASSO%20MOVIMENTACAO%20MEDIDOR%20DE;#BLOQUEADO!
20000582;6;09/12/2024;SIMATIC IPC427E MICROBOX OD WINDOWS 10;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000582&nome=SIMATIC%20IPC427E%20MICROBOX%20OD%20WINDOWS%2010;#BLOQUEADO!
20000582;7;30/01/2025;MEDIDOR DE ESPESSURA E-1250 COM MOTOR DE PASSO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000582&nome=MEDIDOR%20DE%20ESPESSURA%20E-1250%20COM%20MOTOR%20DE%20PASSO;#BLOQUEADO!
20000591;0;18/12/2020;COEXTRUSORA 5 CAMADAS WINDMOLLER VAREX Nº 014;10000858;61141;100005002;https://videplast.com.br/consulta-imobilizado?id=20000591&nome=COEXTRUSORA%205%20CAMADAS%20WINDMOLLER%20VAREX%20Nº%20014;#BLOQUEADO!
20000591;1;18/12/2020;ESTRUTURA DA COEXTRUSORA VAREX 5 CAMADA WINDMOLLER;10000858;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000591&nome=ESTRUTURA%20DA%20COEXTRUSORA%20VAREX%205%20CAMADA%20WINDMOLLER;#BLOQUEADO!
20000591;2;18/12/2020;ESTRUTURA DA COEXTRUSORA VAREX 5 CAMADA WINDMOLLER;10000858;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000591&nome=ESTRUTURA%20DA%20COEXTRUSORA%20VAREX%205%20CAMADA%20WINDMOLLER;#BLOQUEADO!
20000591;3;18/12/2020;FRETES COEXTRUSORA 5 CAMADAS WINDMOLLER VAREX;10000858;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000591&nome=FRETES%20COEXTRUSORA%205%20CAMADAS%20WINDMOLLER%20VAREX;#BLOQUEADO!
20000591;4;18/12/2020;MATERIAS E SERVIÇOS REF MONTAGEM EXTRUSORA VAREX;10000858;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000591&nome=MATERIAS%20E%20SERVIÇOS%20REF%20MONTAGEM%20EXTRUSORA%20VAREX;#BLOQUEADO!
20000591;5;03/05/2023;EIXO EXPANSIVO DE 6 POLEGADAS VAREX NEUENHAUSER;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000591&nome=EIXO%20EXPANSIVO%20DE%206%20POLEGADAS%20VAREX%20NEUENHAUSER;#BLOQUEADO!
20000591;6;03/05/2023;EIXO EXPANSIVO DE 6 POLEGADAS VAREX NEUENHAUSER;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000591&nome=EIXO%20EXPANSIVO%20DE%206%20POLEGADAS%20VAREX%20NEUENHAUSER;#BLOQUEADO!
21000296;0;25/08/2009;INVERSOR DE FREQUENCIA WEG CFW 09 105A 380/480V;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000296&nome=INVERSOR%20DE%20FREQUENCIA%20WEG%20CFW%2009%20105A%20380/480V;#BLOQUEADO!
21000297;0;31/12/2010;RECUPERADORES DE REFILE P/ACOPLAR NAS EXTRUSORAS;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000297&nome=RECUPERADORES%20DE%20REFILE%20P/ACOPLAR%20NAS%20EXTRUSORAS;#BLOQUEADO!
21000297;1;01/01/2010;GASTOS P/CONSTRUCAO DE 1 RECUPERADORES DE REFILE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000297&nome=GASTOS%20P/CONSTRUCAO%20DE%201%20RECUPERADORES%20DE%20REFILE;#BLOQUEADO!
21000297;2;01/01/2010;GASTOS P/CONSTRUCAO DE 1 RECUPERADORES DE REFILE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000297&nome=GASTOS%20P/CONSTRUCAO%20DE%201%20RECUPERADORES%20DE%20REFILE;#BLOQUEADO!
21000298;0;31/12/2010;RECUPERADORES DE REFILE P/ACOPLAR NAS EXTRUSORAS;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000298&nome=RECUPERADORES%20DE%20REFILE%20P/ACOPLAR%20NAS%20EXTRUSORAS;#BLOQUEADO!
21000298;1;01/01/2010;GASTOS P/CONSTRUCAO DE 1 RECUPERADORES DE REFILE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000298&nome=GASTOS%20P/CONSTRUCAO%20DE%201%20RECUPERADORES%20DE%20REFILE;#BLOQUEADO!
21000298;2;01/01/2010;GASTOS P/CONSTRUCAO DE 1 RECUPERADORES DE REFILE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000298&nome=GASTOS%20P/CONSTRUCAO%20DE%201%20RECUPERADORES%20DE%20REFILE;#BLOQUEADO!
21000299;0;31/12/2010;RECUPERADORES DE REFILE P/ACOPLAR NAS EXTRUSORAS;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000299&nome=RECUPERADORES%20DE%20REFILE%20P/ACOPLAR%20NAS%20EXTRUSORAS;#BLOQUEADO!
21000299;1;01/01/2010;GASTOS P/CONSTRUCAO DE 1 RECUPERADORES DE REFILE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000299&nome=GASTOS%20P/CONSTRUCAO%20DE%201%20RECUPERADORES%20DE%20REFILE;#BLOQUEADO!
21000299;2;01/01/2010;GASTOS P/CONSTRUCAO DE 1 RECUPERADORES DE REFILE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000299&nome=GASTOS%20P/CONSTRUCAO%20DE%201%20RECUPERADORES%20DE%20REFILE;#BLOQUEADO!
21000302;0;30/04/2011;CONJUNTO DE ANEL DE AR EXTRUSORA 350MM;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000302&nome=CONJUNTO%20DE%20ANEL%20DE%20AR%20EXTRUSORA%20350MM;#BLOQUEADO!
